2leggedoauth                                                                                                                                                                                   ,2-legged OAuth
clientworker                                                                                                                                                                                   ,Client Worker
clientreq                                                                                                                                                                                      ,ClientReq
clientres                                                                                                                                                                                      ,ClientRes
clone                                                                                                                                                                                          ,Clone
cloneid                                                                                                                                                                                        ,Clone ID
clonemediator                                                                                                                                                                                  ,Clone mediator
clonetarget                                                                                                                                                                                    ,Clone Target
close                                                                                                                                                                                          ,Close
closingqueuesubscription                                                                                                                                                                       ,Closing Queue subscription
closingsubscription                                                                                                                                                                            ,Closing subscription
closingtopicsubscription                                                                                                                                                                       ,Closing topic subscription
cluster                                                                                                                                                                                        ,cluster
clustercoordination                                                                                                                                                                            ,cluster coordination
clusterhealth                                                                                                                                                                                  ,Cluster health
clustermode                                                                                                                                                                                    ,Cluster mode
clusterrecovery                                                                                                                                                                                ,Cluster Recovery
clustereddeployment                                                                                                                                                                            ,Clustered Deployment
clustering                                                                                                                                                                                     ,Clustering
clusteringdeploymentpattern                                                                                                                                                                    ,clustering deployment pattern
code                                                                                                                                                                                           ,Code
collection                                                                                                                                                                                     ,collection
column                                                                                                                                                                                         ,Column
columnheaderrow                                                                                                                                                                                ,Column Header Row
columnseparator                                                                                                                                                                                ,Column Separator
commoneventbasedendpointparameter                                                                                                                                                              ,Common event-based endpoint parameter
commoninboundendpointparameter                                                                                                                                                                 ,Common inbound endpoint parameter
commonpolling                                                                                                                                                                                  ,Common polling
commonwarnings/logs                                                                                                                                                                            ,common warnings/logs
company                                                                                                                                                                                        ,Company
companydetails                                                                                                                                                                                 ,CompanyDetails
comparison                                                                                                                                                                                     ,Comparison
compatibility                                                                                                                                                                                  ,Compatibility
compatiblewso2productversion                                                                                                                                                                   ,Compatible WSO2 product version
completesoapenvelope                                                                                                                                                                           ,complete SOAP envelope
completetask                                                                                                                                                                                   ,Complete Task
completionmaxmessages                                                                                                                                                                          ,Completion Max-messages
completionminmessages                                                                                                                                                                          ,Completion Min-messages
completiontimeout                                                                                                                                                                              ,Completion Timeout
complexelement                                                                                                                                                                                 ,Complex Element
complexresult                                                                                                                                                                                  ,complex result
complexxml                                                                                                                                                                                     ,complex XML
component                                                                                                                                                                                      ,component
compositeapplication                                                                                                                                                                           ,Composite Application
compositeapplicationarchive                                                                                                                                                                    ,Composite Application Archive
compositeapplicationproject                                                                                                                                                                    ,Composite Application project
compositeapplicationprojectpomeditor                                                                                                                                                           ,Composite Application Project POM Editor
compositedata                                                                                                                                                                                  ,Composite Data
compression                                                                                                                                                                                    ,compression
concat                                                                                                                                                                                         ,Concat
concretesynapsehandler                                                                                                                                                                         ,concrete Synapse handler
concurrencythrottling                                                                                                                                                                          ,Concurrency Throttling
concurrencybasedpolicy                                                                                                                                                                         ,concurrency-based policy
concurrentaccess                                                                                                                                                                               ,Concurrent Access
concurrentconsumer                                                                                                                                                                             ,concurrent consumer
conditionalbranching                                                                                                                                                                           ,Conditional Branching
conditionalrouter                                                                                                                                                                              ,Conditional Router
conditionalroutermediator                                                                                                                                                                      ,Conditional Router Mediator
conditionalurl                                                                                                                                                                                 ,Conditional URL
configkey                                                                                                                                                                                      ,Config-Key
configuration                                                                                                                                                                                  ,Configuration
configurationfile                                                                                                                                                                              ,configuration file
configurationgui                                                                                                                                                                               ,configuration GUI
configurationkey                                                                                                                                                                               ,Configuration Key
configurationpermission                                                                                                                                                                        ,Configuration permission
configurationregistry                                                                                                                                                                          ,Configuration Registry
configure                                                                                                                                                                                      ,Configure
configureesb                                                                                                                                                                                   ,Configure ESB
configure/users                                                                                                                                                                                ,Configure/Users
conformanceprofile                                                                                                                                                                             ,Conformance profile
connection                                                                                                                                                                                     ,connection
connectiondetail                                                                                                                                                                               ,Connection Detail
connectionfactory                                                                                                                                                                              ,Connection Factory
connectionfactoryparameter                                                                                                                                                                     ,connection factory parameter
connectioninformation                                                                                                                                                                          ,Connection Information
connectionmbeans                                                                                                                                                                               ,Connection MBeans
connectionmultiplier                                                                                                                                                                           ,Connection Multiplier
connectionpool                                                                                                                                                                                 ,connection pool
connectionpoolsize                                                                                                                                                                             ,connection pool size
connectionrecovery                                                                                                                                                                             ,Connection recovery
connectiontimeout                                                                                                                                                                              ,Connection Timeout
connectionurl                                                                                                                                                                                  ,Connection URL
connectionfactoryjndiname                                                                                                                                                                      ,ConnectionFactoryJNDIName
connectionfactorytype                                                                                                                                                                          ,ConnectionFactoryType
connector                                                                                                                                                                                      ,Connector
connectorconfigurationreference                                                                                                                                                                ,connector configuration reference
connectorexporterproject                                                                                                                                                                       ,Connector Exporter Project
connectorlocation                                                                                                                                                                              ,Connector location
connectorstore                                                                                                                                                                                 ,connector store
connectorstorelocation                                                                                                                                                                         ,Connector Store location
consolemode                                                                                                                                                                                    ,console mode
consumer                                                                                                                                                                                       ,consumer
consumerperformance                                                                                                                                                                            ,Consumer Performance
containerstructure                                                                                                                                                                             ,Container Structure
content                                                                                                                                                                                        ,content
contentenrichment                                                                                                                                                                              ,Content Enrichment
contenthandling                                                                                                                                                                                ,Content Handling
contenttype                                                                                                                                                                                    ,content type
contentaware                                                                                                                                                                                   ,content-aware
contentawaremediator                                                                                                                                                                           ,Content-aware mediator
contentbasedrouterenterpriseintegrationpattern                                                                                                                                                 ,Content-Based Router Enterprise Integration Pattern
contentlength                                                                                                                                                                                  ,Content-length
contentunaware                                                                                                                                                                                 ,content-unaware
contentunawaremediator                                                                                                                                                                         ,Content-unaware mediator
contenttypeproperty                                                                                                                                                                            ,ContentTypeProperty
context                                                                                                                                                                                        ,context
contextnickname                                                                                                                                                                                ,Context nickname
controller                                                                                                                                                                                     ,Controller
coordination                                                                                                                                                                                   ,coordination
copy                                                                                                                                                                                           ,copy
copy_content_length_from_incoming                                                                                                                                                              ,COPY_CONTENT_LENGTH_FROM_INCOMING
copyingibmwebspheremqlibrary                                                                                                                                                                   ,Copying IBM Websphere MQ library
correlation                                                                                                                                                                                    ,Correlation
correlationexpression                                                                                                                                                                          ,Correlation Expression
correlationid                                                                                                                                                                                  ,Correlation ID
correlationset                                                                                                                                                                                 ,correlation set
correlationsetproperty                                                                                                                                                                         ,CorrelationSet Property
correlatorprop                                                                                                                                                                                 ,correlatorProp
cql                                                                                                                                                                                            ,CQL
credential                                                                                                                                                                                     ,Credential
cronstyle                                                                                                                                                                                      ,cron style
crontrigger                                                                                                                                                                                    ,Cron Trigger
cronvalue                                                                                                                                                                                      ,cron value
crudoperation                                                                                                                                                                                  ,CRUD operation
csv                                                                                                                                                                                            ,CSV
csvdata                                                                                                                                                                                        ,CSV Data
csvfile                                                                                                                                                                                        ,CSV file
csvfilelocation                                                                                                                                                                                ,CSV File Location
csvsample                                                                                                                                                                                      ,CSV Sample
ctrl                                                                                                                                                                                           ,Ctrl
ctx                                                                                                                                                                                            ,ctx
ctxusage                                                                                                                                                                                       ,ctx usage
cup                                                                                                                                                                                            ,Cup
curl                                                                                                                                                                                           ,cURL
customconfigurationimplementation                                                                                                                                                              ,Custom Configuration Implementation
customdatasource                                                                                                                                                                               ,Custom Data Source
customdatasourceclass                                                                                                                                                                          ,Custom Data Source Class
customdatasourcesample                                                                                                                                                                         ,Custom Datasource Sample
customdatasources                                                                                                                                                                              ,custom datasources
customerrorcode                                                                                                                                                                                ,Custom error code
customfunction                                                                                                                                                                                 ,Custom Function
customhandler                                                                                                                                                                                  ,custom handler
custominboundendpoint                                                                                                                                                                          ,Custom Inbound Endpoint
custominboundprotocol                                                                                                                                                                          ,Custom Inbound Protocol
customlog                                                                                                                                                                                      ,Custom log
custommediator                                                                                                                                                                                 ,Custom mediator
custommediatorimplementation                                                                                                                                                                   ,Custom Mediator Implementation
custommessagebuilder                                                                                                                                                                           ,Custom Message Builder
custommessageformatter                                                                                                                                                                         ,Custom message formatter
custommessageprocessor                                                                                                                                                                         ,Custom Message Processor
custommessagestore                                                                                                                                                                             ,Custom Message Store
custompolling                                                                                                                                                                                  ,custom polling
customproxy                                                                                                                                                                                    ,Custom Proxy
customproxypath                                                                                                                                                                                ,Custom Proxy Path
customproxytemplate                                                                                                                                                                            ,Custom Proxy Template
customquerydataservice                                                                                                                                                                         ,custom query data service
customquerydatasource                                                                                                                                                                          ,Custom Query Data Source
customquerydatasources                                                                                                                                                                         ,Custom query datasources
customsequence                                                                                                                                                                                 ,Custom Sequence
customtabulardatasource                                                                                                                                                                        ,Custom Tabular Data Source
customtaskclass                                                                                                                                                                                ,custom task class
customuserstoremanager                                                                                                                                                                         ,Custom User Store Manager
customvalidator                                                                                                                                                                                ,custom validator
customvalidators                                                                                                                                                                               ,Custom validators
customerid                                                                                                                                                                                     ,customer ID
customername                                                                                                                                                                                   ,customer Name
customerinfo12                                                                                                                                                                                 ,CustomerInfo-12
customerinfoservice                                                                                                                                                                            ,CustomerInfoService
customizeservicegeneration                                                                                                                                                                     ,Customize Service Generation
customizeview                                                                                                                                                                                  ,Customize View
customizingstatisticspublishing                                                                                                                                                                ,Customizing Statistics Publishing
cxfwsreliablemessaging                                                                                                                                                                         ,CXF WS Reliable Messaging
cxfwsrminboundprotocol                                                                                                                                                                         ,CXF WS-RM Inbound Protocol
dascomponent                                                                                                                                                                                   ,DAS component
dasdocumentation                                                                                                                                                                               ,DAS documentation
dashboard                                                                                                                                                                                      ,DASHBOARD
data                                                                                                                                                                                           ,Data
datafederation                                                                                                                                                                                 ,data federation
dataintegration                                                                                                                                                                                ,data integration
dataintegrationartifact                                                                                                                                                                        ,Data Integration Artifact
dataintegrationcapability                                                                                                                                                                      ,Data integration capability
dataintegrationsample                                                                                                                                                                          ,Data Integration Sample
dataintegrationtutorial                                                                                                                                                                        ,data integration tutorial
datamapper                                                                                                                                                                                     ,Data Mapper
datamapperelement                                                                                                                                                                              ,Data Mapper element
datamapperengine                                                                                                                                                                               ,Data Mapper Engine
datamappermediator                                                                                                                                                                             ,Data Mapper mediator
datamapperoperation                                                                                                                                                                            ,Data Mapper operation
datamappertooling                                                                                                                                                                              ,Data Mapper Tooling
datamappinglink                                                                                                                                                                                ,Data Mapping Link
dataservice                                                                                                                                                                                    ,Data Service
dataservicelevel                                                                                                                                                                               ,data service level
dataservicename                                                                                                                                                                                ,Data Service Name
dataserviceproject                                                                                                                                                                             ,Data Service Project
dataservicequery                                                                                                                                                                               ,data service query
dataserviceserver3.5.1                                                                                                                                                                         ,Data Service Server 3.5.1
dataservicesclient                                                                                                                                                                             ,Data Services Client
dataservicesvalidatorproject                                                                                                                                                                   ,Data Services Validator Project
datasource                                                                                                                                                                                     ,Data Source
datatype                                                                                                                                                                                       ,Data Type
dataagentparameter                                                                                                                                                                             ,data-agent parameter
database                                                                                                                                                                                       ,database
databaseanomaly                                                                                                                                                                                ,database anomaly
databasedriver                                                                                                                                                                                 ,database driver
databaseinteraction                                                                                                                                                                            ,Database Interaction
databasename                                                                                                                                                                                   ,Database Name
databaseperformance                                                                                                                                                                            ,Database Performance
databasestructure                                                                                                                                                                              ,database structure
databasetable                                                                                                                                                                                  ,database table
dataencodingunknown                                                                                                                                                                            ,dataEncodingUnknown
dataserviceoperation                                                                                                                                                                           ,DataService Operation
dataservicetaskclass                                                                                                                                                                           ,DataService Task Class
datasourceconnection                                                                                                                                                                           ,datasource connection
datasourceid                                                                                                                                                                                   ,Datasource ID
datasourcename                                                                                                                                                                                 ,Datasource Name
