2leggedoauth                                                                                                                                                                                   ,2-legged OAuth
axis2repository                                                                                                                                                                                ,Axis2 Repository
axis2scope                                                                                                                                                                                     ,axis2 scope
axis2server                                                                                                                                                                                    ,Axis2 server
axis2xml                                                                                                                                                                                       ,Axis2 XML
axis2client                                                                                                                                                                                    ,axis2-client
axis2.xml                                                                                                                                                                                      ,axis2.xml
axis2.xmlfile                                                                                                                                                                                  ,axis2.xml file
backendcall                                                                                                                                                                                    ,back-end call
backenddatabase                                                                                                                                                                                ,back-end database
backendservice                                                                                                                                                                                 ,back-end service
bam                                                                                                                                                                                            ,BAM
bamdocumentation                                                                                                                                                                               ,BAM documentation
bamserverprofile                                                                                                                                                                               ,BAM server profile
base64binary                                                                                                                                                                                   ,base64Binary
base64decode                                                                                                                                                                                   ,base64Decode
base64encode                                                                                                                                                                                   ,base64Encode
basicauth                                                                                                                                                                                      ,Basic Auth
basicauthhandler                                                                                                                                                                               ,Basic Auth handler
basicrest                                                                                                                                                                                      ,Basic REST
basicstructure                                                                                                                                                                                 ,Basic structure
batch                                                                                                                                                                                          ,batch
batchprocessing                                                                                                                                                                                ,Batch processing
batchprocessingsample                                                                                                                                                                          ,Batch Processing Sample
batchrequest                                                                                                                                                                                   ,Batch Request
bean                                                                                                                                                                                           ,Bean
beanmediator                                                                                                                                                                                   ,Bean Mediator
beanscriptingframework                                                                                                                                                                         ,Bean Scripting Framework
bestpractice                                                                                                                                                                                   ,Best practice
bigint                                                                                                                                                                                         ,BIGINT
binarydatatype                                                                                                                                                                                 ,Binary data type
binding                                                                                                                                                                                        ,binding
block                                                                                                                                                                                          ,Block
blocking/nonblocking                                                                                                                                                                           ,blocking/non-blocking
blogpost                                                                                                                                                                                       ,blog post
body                                                                                                                                                                                           ,Body
bodyusage                                                                                                                                                                                      ,body usage
body/getquote                                                                                                                                                                                  ,body/getQuote
boolean                                                                                                                                                                                        ,Boolean
bpel                                                                                                                                                                                           ,BPEL
bpelartifactproject                                                                                                                                                                            ,BPEL artifact project
bpelcleanupscript                                                                                                                                                                              ,BPEL cleanup script
bpeldatabase                                                                                                                                                                                   ,BPEL database
bpelpackagecleanup                                                                                                                                                                             ,BPEL Package Cleanup
bpelprocess                                                                                                                                                                                    ,BPEL process
bpelprocesspersistence                                                                                                                                                                         ,BPEL process persistence
bpelpropertyreaderextension                                                                                                                                                                    ,BPEL Property Reader Extension
bpelruntime                                                                                                                                                                                    ,BPEL Runtime
bpelsample                                                                                                                                                                                     ,BPEL Sample
bpelworkflow                                                                                                                                                                                   ,BPEL Workflow
bpmn                                                                                                                                                                                           ,BPMN
bpmnartifactproject                                                                                                                                                                            ,BPMN artifact project
bpmncleanupscript                                                                                                                                                                              ,BPMN cleanup script
bpmndatabase                                                                                                                                                                                   ,BPMN database
bpmndiagram                                                                                                                                                                                    ,BPMN Diagram
bpmnexplorer                                                                                                                                                                                   ,BPMN explorer
bpmnperformancetuning                                                                                                                                                                          ,BPMN performance tuning
bpmnprocess                                                                                                                                                                                    ,BPMN process
bpmnproject                                                                                                                                                                                    ,BPMN Project
bpmnrestendpoint                                                                                                                                                                               ,BPMN REST Endpoint
bpmnruntime                                                                                                                                                                                    ,BPMN Runtime
bpmnsample                                                                                                                                                                                     ,BPMN Sample
bpmnstatistic                                                                                                                                                                                  ,BPMN Statistic
bpmnusersubstitution                                                                                                                                                                           ,BPMN User Substitution
bps                                                                                                                                                                                            ,bps
bpsdatasources                                                                                                                                                                                 ,bps-datasources
bps.xml                                                                                                                                                                                        ,bps.xml
bps_home                                                                                                                                                                                       ,BPS_HOME
broker                                                                                                                                                                                         ,Broker
brokerinstance                                                                                                                                                                                 ,Broker instance
brokernode                                                                                                                                                                                     ,broker node
brokerprofile                                                                                                                                                                                  ,Broker Profile
brokerserver                                                                                                                                                                                   ,broker server
brokerurlformat                                                                                                                                                                                ,Broker URL format
brokerspecifcdatabase                                                                                                                                                                          ,broker-specifc database
brokerspecificdatabase                                                                                                                                                                         ,broker-specific database
brokerspecificmbeans                                                                                                                                                                           ,Broker-specific MBeans
brokerlistoption                                                                                                                                                                               ,Brokerlist option
browser                                                                                                                                                                                        ,browser
buildermediator                                                                                                                                                                                ,Builder Mediator
businessprocess                                                                                                                                                                                ,business process
businessprocessprofilenode                                                                                                                                                                     ,business process profile node
businessprocessstatistic                                                                                                                                                                       ,business process statistic
businessprocessprofile                                                                                                                                                                         ,Business-process Profile
capp                                                                                                                                                                                           ,C-App
cache                                                                                                                                                                                          ,Cache
cacheid                                                                                                                                                                                        ,Cache ID
cachejmsobject                                                                                                                                                                                 ,cache JMS object
cachemediator                                                                                                                                                                                  ,Cache mediator
cachescope                                                                                                                                                                                     ,Cache Scope
cachetimeout                                                                                                                                                                                   ,Cache Timeout
cachetype                                                                                                                                                                                      ,Cache Type
cachedresponse                                                                                                                                                                                 ,Cached Response
cachelevel                                                                                                                                                                                     ,CacheLevel
caching                                                                                                                                                                                        ,caching
callactivity                                                                                                                                                                                   ,call activity
callactivitysample                                                                                                                                                                             ,Call Activity Sample
callmediator                                                                                                                                                                                   ,Call Mediator
calltemplate                                                                                                                                                                                   ,Call Template
calltemplatemediator                                                                                                                                                                           ,Call Template Mediator
